Malphite,Kha'Zix,Ryze,Ezreal,Braum,Camille,Jarvan IV,Malzahar,Varus,Alistar,True
Cho'Gath,Zac,Malzahar,Varus,Shen,Trundle,Jarvan IV,Orianna,Kog'Maw,Tahm Kench,False
Gnar,Jarvan IV,Ryze,Kog'Maw,Tahm Kench,Maokai,Sejuani,Azir,Xayah,Alistar,True
Vladimir,Jarvan IV,Syndra,Xayah,Rakan,Camille,Zac,Ryze,Tristana,Tahm Kench,False
Gangplank,Sejuani,Ryze,Sivir,Taric,Camille,Jarvan IV,Malzahar,Ezreal,Tahm Kench,True
Ornn,Sejuani,Azir,Tristana,Braum,Gnar,Shyvana,Fiddlesticks,Ezreal,Alistar,True
Shen,Shyvana,Corki,Varus,Trundle,Ornn,Sejuani,Malzahar,Ezreal,Alistar,False
Gnar,Jarvan IV,Cassiopeia,Ezreal,Braum,Gangplank,Sejuani,Azir,Tristana,Taric,True
Ornn,Evelynn,Azir,Tristana,Alistar,Gangplank,Jarvan IV,Kassadin,Varus,Tahm Kench,True
Gnar,Sejuani,Xerath,Kog'Maw,Alistar,Maokai,Xin Zhao,Malzahar,Tristana,Tahm Kench,True
Ornn,Jarvan IV,Orianna,Kog'Maw,Taric,Gnar,Sejuani,Malzahar,Kalista,Thresh,False
Gnar,Zac,Azir,Kalista,Taric,Cho'Gath,Kha'Zix,Xerath,Kog'Maw,Tahm Kench,True
Gnar,Jarvan IV,Malzahar,Ezreal,Braum,Gangplank,Sejuani,Zilean,Caitlyn,Janna,True
Gangplank,Jarvan IV,Zoe,Varus,Taric,Kled,Evelynn,Ryze,Tristana,Tahm Kench,False
Gnar,Zac,Azir,Ezreal,Taric,Ornn,Sejuani,Ryze,Tristana,Braum,True
Shen,Rengar,Malzahar,Ezreal,Braum,Gnar,Kha'Zix,Ryze,Varus,Alistar,False
Jayce,Kha'Zix,Ryze,Caitlyn,Braum,Gnar,Lee Sin,Azir,Varus,Janna,True
Gnar,Zac,Malzahar,Kog'Maw,Tahm Kench,Vladimir,Kha'Zix,Galio,Varus,Braum,True
Camille,Sejuani,Corki,Sivir,Braum,Gangplank,Zac,Malzahar,Varus,Alistar,True
Cho'Gath,Zac,Taliyah,Varus,Braum,Vladimir,Jarvan IV,Galio,Xayah,Ornn,False
Gnar,Kha'Zix,LeBlanc,Ezreal,Alistar,Sion,Jarvan IV,Azir,Caitlyn,Ornn,True
Gnar,Jarvan IV,Taliyah,Ezreal,Bard,Ornn,Sejuani,Ryze,Vayne,Braum,False
Jayce,Sejuani,Galio,Caitlyn,Janna,Gnar,Nidalee,Corki,Tristana,Braum,True
Vladimir,Jarvan IV,Azir,Kalista,Braum,Gnar,Shyvana,Ryze,Varus,Alistar,True
Maokai,Jax,Azir,Ezreal,Tahm Kench,Ornn,Jarvan IV,Vladimir,Kalista,Braum,True
Gangplank,Jarvan IV,Corki,Kalista,Taric,Gnar,Lee Sin,Malzahar,Kog'Maw,Braum,True
Gnar,Zac,Azir,Ezreal,Alistar,Gangplank,Sejuani,Taliyah,Varus,Taric,True
Vladimir,Kha'Zix,Karma,Kalista,Kennen,Gnar,Jarvan IV,Orianna,Kog'Maw,Tahm Kench,True
